Nom_client,Prénom,RIB,Numéro de compte,CIN,Solde,Consultation opérations,Agence,Date,VL,Nombre dactions
AJAMI,Noor,23985428443306821205,84734242445,79223884,95310.809,souscription,MSAKEN,2021-01-27,104.393,913
AJAMI,Noor,23985428443306821205,84734242445,79223884,49579.264,souscription,MSAKEN,2014-03-01,110.668,448
AL-SALAMI,ABDELAZIZ,92076496938918840699,79339861233,19917079,68270.576,souscription,MANOUBA,2023-04-22,104.071,656
AL-SALAMI,ABDELAZIZ,92076496938918840699,79339861233,19917079,28647.796,rachat,MANOUBA,2022-10-29,104.554,274
AL-SALAMI,ABDELAZIZ,92076496938918840699,79339861233,19917079,71819.284,souscription,MANOUBA,2019-05-26,103.486,694
AL-SALAMI,ABDELAZIZ,92076496938918840699,79339861233,19917079,53467.822,souscription,MANOUBA,2016-03-22,108.454,493
AL-SALAMI,ABDELAZIZ,92076496938918840699,79339861233,19917079,75935.948,souscription,MANOUBA,2019-12-02,107.558,706
ALAYOUB,NABIL,35111961186226495780,69461874157,42201186,14105.532,souscription,MOKNINE,2015-04-20,102.214,138
ALAYOUB,NABIL,35111961186226495780,69461874157,42201186,14181.156,rachat,MOKNINE,2023-06-21,102.762,138
ALAYOUB,NABIL,35111961186226495780,69461874157,42201186,28478.472,souscription,MOKNINE,2018-02-14,107.873,264
ALAYOUB,NABIL,35111961186226495780,69461874157,42201186,28380.264,rachat,MOKNINE,2025-01-19,107.501,264
ALAYOUB,NABIL,35111961186226495780,69461874157,42201186,21228.213,souscription,MOKNINE,2014-08-07,105.613,201
ANANA,CHAONA,97547261214699098009,22408772105,52382111,97819.904,souscription,LAC II,2015-11-04,109.174,896
ANANA,CHAONA,97547261214699098009,22408772105,52382111,39047.66,rachat,LAC II,2019-06-06,102.757,380
ANANA,CHAONA,97547261214699098009,22408772105,52382111,38298.12,souscription,LAC II,2025-01-12,106.68,359
ANANA,CHAONA,97547261214699098009,22408772105,52382111,14686.0,rachat,LAC II,2014-08-19,104.9,140
ARABI,Aissa,71454890212988912382,92155063271,99125441,0.0,rachat,KRAM,2023-12-15,107.158,0
ARABI,Aissa,71454890212988912382,92155063271,99125441,92337.5,souscription,KRAM,2015-04-26,103.75,890
ARABI,Aissa,71454890212988912382,92155063271,99125441,6627.242,souscription,KRAM,2018-05-20,106.891,62
ARABI,Aissa,71454890212988912382,92155063271,99125441,3935.774,rachat,KRAM,2020-07-07,103.573,38
ARABI,Aissa,71454890212988912382,92155063271,99125441,72939.062,rachat,KRAM,2024-07-03,103.754,703
ARBIT,Mohamed,48553048774822085178,47016727081,84898670,57010.425,souscription,CENTRALE CUN,2016-03-21,109.425,521
ARBIT,Mohamed,48553048774822085178,47016727081,84898670,45816.812,rachat,CENTRALE CUN,2015-05-13,109.348,419
ARBIT,Mohamed,48553048774822085178,47016727081,84898670,81059.071,souscription,CENTRALE CUN,2022-10-10,109.097,743
ARBIT,Mohamed,48553048774822085178,47016727081,84898670,35867.079,rachat,CENTRALE CUN,2022-08-19,102.771,349
AZIZI,Mohamed,20414781220757842444,91812918040,28939124,39258.258,souscription,MONASTIR,2016-03-24,107.263,366
AZIZI,Mohamed,20414781220757842444,91812918040,28939124,26298.456,souscription,MONASTIR,2018-03-29,101.932,258
AZIZI,Mohamed,20414781220757842444,91812918040,28939124,95814.312,souscription,MONASTIR,2016-07-09,107.899,888
AZIZI,Mohamed,20414781220757842444,91812918040,28939124,93865.824,rachat,MONASTIR,2017-10-26,108.641,864
AZIZI,Mohamed,20414781220757842444,91812918040,28939124,65633.24,souscription,MONASTIR,2025-02-12,110.68,593
AZMI,Mohamed,84220712773345461696,77705872011,27787258,66970.802,souscription,SOUSSE,2024-10-27,100.406,667
AZMI,Mohamed,84220712773345461696,77705872011,27787258,69389.349,souscription,SOUSSE,2014-08-07,103.721,669
AZMI,Mohamed,84220712773345461696,77705872011,27787258,87421.356,souscription,SOUSSE,2020-04-25,104.571,836
Aawem,Abed Allah,56336570966669978816,95039411665,42946818,91596.725,souscription,ENNASR,2023-01-18,100.325,913
Aawem,Abed Allah,56336570966669978816,95039411665,42946818,48878.91,rachat,ENNASR,2023-04-18,105.57,463
Aawem,Abed Allah,56336570966669978816,95039411665,42946818,49164.3,rachat,ENNASR,2014-03-23,109.254,450
Aawem,Abed Allah,56336570966669978816,95039411665,42946818,0.0,rachat,ENNASR,2016-03-31,101.487,0
Aawem,Abed Allah,56336570966669978816,95039411665,42946818,21387.87,souscription,ENNASR,2018-04-28,101.847,210
Abbassi,Hatem,92720941959803007107,19045334487,80444782,58640.946,souscription,DJERBA,2015-03-25,107.401,546
Abbassi,Hatem,92720941959803007107,19045334487,80444782,11446.448,souscription,DJERBA,2017-11-06,110.062,104
Abbassi,Hatem,92720941959803007107,19045334487,80444782,65364.0,rachat,DJERBA,2019-11-12,100.56,650
Abbassi,Hatem,92720941959803007107,19045334487,80444782,0.0,rachat,DJERBA,2021-11-02,109.578,0
Abid,Mehdi,99533545668755408887,83295203012,38003229,35751.312,souscription,BEN AROUS,2017-12-30,104.536,342
Abid,Mehdi,99533545668755408887,83295203012,38003229,39998.963,souscription,BEN AROUS,2016-01-29,108.989,367
Abid,Mehdi,99533545668755408887,83295203012,38003229,107731.272,souscription,BEN AROUS,2019-09-12,109.483,984
Abid,Mehdi,99533545668755408887,83295203012,38003229,68058.54,rachat,BEN AROUS,2021-11-05,102.19,666
Abid,Mehdi,99533545668755408887,83295203012,38003229,90924.449,souscription,BEN AROUS,2024-03-04,109.153,833
Aboukhalaf,Imem,54709332230189148870,16268991558,91928886,0.0,rachat,SFAX,2022-04-20,109.637,0
Aboukhalaf,Imem,54709332230189148870,16268991558,91928886,0.0,rachat,SFAX,2018-07-29,101.886,0
Aboukhalaf,Imem,54709332230189148870,16268991558,91928886,0.0,rachat,SFAX,2016-10-11,100.875,0
Aboukhalaf,Imem,54709332230189148870,16268991558,91928886,0.0,rachat,SFAX,2020-11-14,101.772,0
Aboukhalaf,Imem,54709332230189148870,16268991558,91928886,38098.35,souscription,SFAX,2023-03-21,110.43,345
Aloui,Saif,01046790649026906400,39923931444,22758870,0.0,rachat,BARDO,2022-01-12,105.876,0
Aloui,Saif,04880707047580809920,2845304445,68645360,0.0,rachat,BOUMHEL,2016-12-03,105.442,0
Aloui,Saif,18160647396543644014,15946647954,27065184,0.0,rachat,EL MENZAH 4,2014-06-18,102.903,0
Aloui,Saif,22492797139033982188,86469846803,65015040,0.0,rachat,LAC II,2024-09-30,104.486,0
Aloui,Saif,24232307361151513672,60890467131,55278510,23042.667,souscription,LA MARSA,2021-05-04,100.623,229
Aloui,Saif,35421808065622031972,26764978680,73724262,0.0,rachat,KAIROUAN,2024-12-05,104.111,0
Aloui,Saif,35969839270801786265,42977620405,97987913,0.0,rachat,KRAM,2024-10-22,100.433,0
Aloui,Saif,47972181831903883850,21920374120,55809577,0.0,rachat,BEJA,2023-07-20,106.523,0
Aloui,Saif,51611100642095081065,93254412513,45455228,37980.828,souscription,PASTEUR,2024-11-24,102.099,372
Aloui,Saif,64506530831714570034,24437550525,4638552,100301.256,souscription,MOKNINE,2018-09-19,104.808,957
Aloui,Saif,72404572298336175284,6496072622,65577509,27172.404,souscription,MSAKEN,2023-04-23,107.827,252
Aloui,Saif,77651581045276160865,43387996238,28363561,3816.106,souscription,SOUSSE SAHLOUL,2025-10-12,103.138,37
Aloui,Saif,79969454614928592632,58241735540,93040044,0.0,rachat,DJERBA,2014-12-12,104.866,0
Aloui,Saif,85574225155767852920,23369794962,12857740,0.0,rachat,ENNASR,2025-06-02,104.478,0
Aloui,Saif,89838249852985337605,85158287679,66318744,27234.642,souscription,MSAKEN,2017-01-03,107.223,254
Aloui,Saif,89838249852985337605,85158287679,66318744,21261.03,souscription,MSAKEN,2018-10-11,101.243,210
Aloui,Saif,89838249852985337605,85158287679,66318744,52522.314,souscription,MSAKEN,2021-01-25,109.194,481
Aloui,Saif,89838249852985337605,85158287679,66318744,6831.153,souscription,MSAKEN,2020-03-03,108.431,63
Aloui,Saif,90406722632726105709,98043505007,65104452,0.0,rachat,MONTPLAISIR,2014-01-30,105.311,0
Aloui,Saif,97525169637363469294,20985600367,63860038,0.0,rachat,LA MARSA,2024-02-13,105.596,0
Arsoy,Aymen,39487202310676406682,58617863833,87172288,0.0,rachat,MANOUBA,2022-04-04,102.119,0
Arsoy,Aymen,39487202310676406682,58617863833,87172288,71516.9,souscription,MANOUBA,2024-09-29,110.026,650
Arsoy,Aymen,39487202310676406682,58617863833,87172288,41379.891,rachat,MANOUBA,2020-04-21,100.681,411
Arsoy,Aymen,39487202310676406682,58617863833,87172288,52755.765,souscription,MANOUBA,2023-04-15,107.885,489
Arsoy,Aymen,39487202310676406682,58617863833,87172288,23848.22,rachat,MANOUBA,2015-01-15,108.401,220
Arsoy,Aymen,80038520382863294428,87377695764,83674085,91577.44,souscription,MSAKEN,2016-03-19,105.02,872
Arsoy,Aymen,80038520382863294428,87377695764,83674085,48343.953,rachat,MSAKEN,2018-05-23,100.091,483
Arsoy,Aymen,80038520382863294428,87377695764,83674085,1727.376,souscription,MSAKEN,2016-11-04,107.961,16
Arsoy,Aymen,80038520382863294428,87377695764,83674085,18968.58,souscription,MSAKEN,2018-07-29,105.381,180
Arsoy,Aymen,80038520382863294428,87377695764,83674085,72941.76,souscription,MSAKEN,2023-08-11,101.308,720
Athmani,Ikram,50829217251638986724,32861582522,72419933,0.0,rachat,LA MARSA,2025-12-21,106.944,0
Athmani,Ikram,50829217251638986724,32861582522,72419933,73927.383,souscription,LA MARSA,2016-12-23,107.609,687
Athmani,Ikram,50829217251638986724,32861582522,72419933,71535.936,rachat,LA MARSA,2021-07-28,104.128,687
Athmani,Ikram,50829217251638986724,32861582522,72419933,0.0,rachat,LA MARSA,2018-10-13,104.46,0
Ayadi,Mohamed,54020392382556860748,86337589663,1576818,38285.037,souscription,SFAX II,2019-09-20,107.241,357
Ayadi,Mohamed,54020392382556860748,86337589663,1576818,63573.696,souscription,SFAX II,2015-10-07,101.232,628
Ayadi,Mohamed,54020392382556860748,86337589663,1576818,55660.404,rachat,SFAX II,2024-08-27,103.458,538
Ayadi,Mohamed,54020392382556860748,86337589663,1576818,33863.258,rachat,SFAX II,2019-06-29,101.387,334
BECHE,Rami,63019930783921429650,28970912127,49090936,83287.785,souscription,SFAX II,2025-05-13,102.445,813
BECHE,Rami,63019930783921429650,28970912127,49090936,83453.637,rachat,SFAX II,2022-05-23,102.649,813
BECHE,Rami,63019930783921429650,28970912127,49090936,0.0,rachat,SFAX II,2023-01-04,105.684,0
BECHE,Rami,63019930783921429650,28970912127,49090936,0.0,rachat,SFAX II,2016-08-29,105.383,0
BECHE,Rami,63019930783921429650,28970912127,49090936,68465.98,souscription,SFAX II,2023-10-27,100.39,682
BEHMOUD,Khalil,"",87456356551,64678158,33362.245,souscription,MEGRINE,2016-08-31,101.405,329
BEHMOUD,Khalil,17924595323030095432,87456356551,64678158,35919.891,rachat,MEGRINE,2022-03-03,109.179,329
BEHMOUD,Khalil,17924595323030095432,87456356551,64678158,35140.826,souscription,MEGRINE,2017-03-27,109.133,322
BEHMOUD,Khalil,17924595323030095432,87456356551,64678158,50540.184,souscription,MEGRINE,2021-06-26,107.304,471
BEHMOUD,Khalil,17924595323030095432,87456356551,64678158,60591.888,souscription,MEGRINE,2025-04-18,106.864,567
BELHADJ,HASSANINE,68787161130458971016,82510479919,57753335,72986.904,souscription,LA MARSA,2020-05-26,106.706,684
BELHADJ,HASSANINE,68787161130458971016,82510479919,57753335,83615.024,souscription,LA MARSA,2024-08-26,105.044,796
BELHADJ,HASSANINE,68787161130458971016,82510479919,57753335,84178.512,souscription,LA MARSA,2023-07-31,100.692,836
BELHADJ,HASSANINE,68787161130458971016,82510479919,57753335,84116.23,souscription,LA MARSA,2016-05-30,100.738,835
BELHADJ,HASSANINE,68787161130458971016,82510479919,57753335,34128.136,souscription,LA MARSA,2017-01-11,105.988,322
BELHADJ,Mohamed,21806473644888554897,36110197770,5295925,26355.641,souscription,BEN AROUS,2016-10-27,106.703,247
BELHADJ,Mohamed,21806473644888554897,36110197770,5295925,22573.644,souscription,BEN AROUS,2014-03-18,103.076,219
BELHADJ,Mohamed,21806473644888554897,36110197770,5295925,49512.966,rachat,BEN AROUS,2022-09-21,106.251,466
BELHADJ,Mohamed,21806473644888554897,36110197770,5295925,0.0,rachat,BEN AROUS,2021-08-24,101.115,0
BELHADJ,Mohamed,21806473644888554897,36110197770,5295925,19247.808,souscription,BEN AROUS,2015-11-07,100.249,192
BELHASSINE,Imen,57830093612040700115,60252682095,747913,99801.465,souscription,SFAX II,2024-03-10,100.505,993
BELHASSINE,Imen,57830093612040700115,60252682095,747913,91499.976,rachat,SFAX II,2018-02-18,108.156,846
BELHASSINE,Imen,57830093612040700115,60252682095,747913,14826.126,rachat,SFAX II,2024-05-08,100.858,147
BELHASSINE,Imen,57830093612040700115,60252682095,747913,0.0,rachat,SFAX II,2014-02-28,103.707,0
BELHASSINE,Imen,57830093612040700115,60252682095,747913,62378.624,souscription,SFAX II,2016-05-05,101.264,616
BELHASSINE,Sofiane,85307617463470032912,45125248254,97477246,103371.309,souscription,MONASTIR,2021-12-28,107.343,963
BELHASSINE,Sofiane,85307617463470032912,45125248254,97477246,88656.15,rachat,MONASTIR,2019-12-23,107.462,825
BELHASSINE,Sofiane,85307617463470032912,45125248254,97477246,95949.7,souscription,MONASTIR,2024-03-12,102.62,935
BELHASSINE,Sofiane,85307617463470032912,45125248254,97477246,33243.524,rachat,MONASTIR,2018-10-03,101.974,326
BELHASSINE,Sofiane,85307617463470032912,45125248254,97477246,22950.82,rachat,MONASTIR,2022-08-14,106.748,215
BELHASSINE,ZAKIA,00004382675907927370,23488265349,68508984,0.0,rachat,EL MENZAH 4,2021-03-07,109.07,0
BELHASSINE,ZAKIA,00004382675907927370,23488265349,68508984,0.0,rachat,EL MENZAH 4,2020-09-24,105.802,0
BELHASSINE,ZAKIA,00004382675907927370,23488265349,68508984,0.0,rachat,EL MENZAH 4,2018-08-26,108.916,0
BELHASSINE,ZAKIA,00004382675907927370,23488265349,68508984,0.0,rachat,EL MENZAH 4,2019-11-22,105.062,0
BELHASSINE,ZAKIA,00004382675907927370,23488265349,68508984,45593.766,souscription,EL MENZAH 4,2015-11-18,105.786,431
BEN ABOU,Zouhair,61037120024200791212,21002681601,12358178,0.0,rachat,KRAM,2022-07-22,107.14,0
BEN ABOU,Zouhair,61037120024200791212,21002681601,12358178,0.0,rachat,KRAM,2016-12-16,103.347,0
BEN ABOU,Zouhair,61037120024200791212,21002681601,12358178,80524.156,souscription,KRAM,2017-02-17,101.161,796
BEN ABOU,Zouhair,61037120024200791212,21002681601,12358178,46859.61,rachat,KRAM,2023-03-16,103.215,454
BEN ABOU,Zouhair,61037120024200791212,21002681601,12358178,36990.72,rachat,KRAM,2017-02-19,108.16,342
BEN ACHOUR,SIDI,06403396810169530040,77775825473,37970792,0.0,rachat,KRAM,2015-12-07,104.219,0
BEN ACHOUR,SIDI,06403396810169530040,77775825473,37970792,0.0,rachat,KRAM,2020-11-09,102.663,0
BEN ACHOUR,SIDI,06403396810169530040,77775825473,37970792,0.0,rachat,KRAM,2019-11-18,103.035,0
BEN ACHOUR,SIDI,06403396810169530040,77775825473,37970792,0.0,rachat,KRAM,2025-04-04,101.037,0
BEN AHMED,HAJER,92707670564462560137,65124357723,24649467,41341.587,souscription,BEJA,2022-12-22,103.613,399
BEN AHMED,HAJER,92707670564462560137,65124357723,24649467,38870.242,souscription,BEJA,2015-06-02,110.114,353
BEN AHMED,HAJER,92707670564462560137,65124357723,24649467,76315.216,rachat,BEJA,2014-08-24,101.483,752
BEN AHMED,HAJER,92707670564462560137,65124357723,24649467,0.0,rachat,BEJA,2016-09-30,103.803,0
BEN ALI,CHABANE,43126754072526684799,45939486101,58493894,0.0,rachat,ENNASR,2022-02-24,107.859,0
BEN ALI,CHABANE,43126754072526684799,45939486101,58493894,10928.61,souscription,ENNASR,2018-04-05,110.39,99
BEN ALI,CHABANE,43126754072526684799,45939486101,58493894,19893.852,souscription,ENNASR,2022-06-07,100.474,198
BEN ALI,CHABANE,43126754072526684799,45939486101,58493894,29710.098,rachat,ENNASR,2018-06-27,100.034,297
BEN ALI,CHABANE,43126754072526684799,45939486101,58493894,0.0,rachat,ENNASR,2025-03-12,100.37,0
BEN ALI,CHADI,17898981361023751814,66657816151,1265643,56730.352,souscription,MEGRINE,2017-05-03,106.636,532
BEN ALI,CHADI,17898981361023751814,66657816151,1265643,68531.84,souscription,MEGRINE,2023-10-20,107.081,640
BEN ALI,CHADI,17898981361023751814,66657816151,1265643,24761.595,souscription,MEGRINE,2018-07-11,103.605,239
BEN ALI,CHADI,17898981361023751814,66657816151,1265643,7851.677,rachat,MEGRINE,2017-03-31,110.587,71
BEN ALI,CHADI,17898981361023751814,66657816151,1265643,12417.355,souscription,MEGRINE,2018-01-27,107.977,115
BEN ALI,Chedly,45888087100586410102,71033823213,79269525,53645.352,souscription,SFAX,2022-05-09,109.929,488
BEN ALI,Chedly,45888087100586410102,71033823213,79269525,48115.002,rachat,SFAX,2021-02-25,100.659,478
BEN ALI,Chedly,45888087100586410102,71033823213,79269525,4801.14,souscription,SFAX,2016-11-15,106.692,45
BEN ALI,Chedly,45888087100586410102,71033823213,79269525,5736.005,rachat,SFAX,2022-01-29,104.291,55
BEN ALI,HAMDI,17021436473531007347,42793845496,68358402,66893.769,souscription,BIZERTE,2018-04-25,101.817,657
BEN ALI,HAMDI,17021436473531007347,42793845496,68358402,65227.456,souscription,BIZERTE,2020-08-10,103.208,632
BEN ALI,HAMDI,17021436473531007347,42793845496,68358402,87661.182,rachat,BIZERTE,2025-10-24,108.626,807
BEN ALI,HAMDI,17021436473531007347,42793845496,68358402,83902.112,souscription,BIZERTE,2023-05-26,107.018,784
BEN ALI,HAMDI,17713633595928915682,5551744138,68731294,0.0,rachat,MEGRINE,2019-03-18,102.326,0
BEN ALI,HAMDI,17713633595928915682,5551744138,68731294,0.0,rachat,MEGRINE,2015-05-11,105.9,0
BEN ALI,HAMDI,17713633595928915682,5551744138,68731294,14553.438,souscription,MEGRINE,2023-05-31,102.489,142
BEN ALI,HAMDI,17713633595928915682,5551744138,68731294,14295.85,rachat,MEGRINE,2015-02-13,100.675,142
BEN ALI,HAMDI,17713633595928915682,5551744138,68731294,55097.5,souscription,MEGRINE,2021-09-27,110.195,500
BEN ALI,HAMDI,48760366575923209400,2206063864,95610602,0.0,rachat,MSAKEN,2022-07-05,107.457,0
BEN ALI,HAMDI,48760366575923209400,2206063864,95610602,36772.568,souscription,MSAKEN,2021-11-16,106.897,344
BEN ALI,HAMDI,48760366575923209400,2206063864,95610602,37657.68,rachat,MSAKEN,2024-09-02,109.47,344
BEN ALI,HAMDI,48760366575923209400,2206063864,95610602,31661.685,souscription,MSAKEN,2020-09-22,106.605,297
BEN ALI,HAMDI,48760366575923209400,2206063864,95610602,78149.25,souscription,MSAKEN,2025-10-20,105.75,739
BEN ALI,HASSINE,69459646827161362196,90523820266,19374832,4642.022,souscription,LES BERGES DU LAC,2021-08-11,107.954,43
BEN ALI,HASSINE,69459646827161362196,90523820266,19374832,46175.986,souscription,LES BERGES DU LAC,2019-09-21,106.642,433
BEN ALI,HASSINE,69459646827161362196,90523820266,19374832,75749.948,souscription,LES BERGES DU LAC,2016-02-13,104.627,724
BEN ALI,HASSINE,69459646827161362196,90523820266,19374832,109393.497,souscription,LES BERGES DU LAC,2016-08-05,109.503,999
BEN ALI,HASSINE,69459646827161362196,90523820266,19374832,68746.18,souscription,LES BERGES DU LAC,2015-01-01,104.956,655
BEN ALI,JEHANE,85367545470699180958,63776983699,47698780,0.0,rachat,MOKNINE,2023-11-06,107.646,0
BEN ALI,JEHANE,85367545470699180958,63776983699,47698780,71658.914,souscription,MOKNINE,2015-04-10,109.738,653
BEN ALI,JEHANE,85367545470699180958,63776983699,47698780,69341.417,rachat,MOKNINE,2017-01-30,106.189,653
BEN ALI,JEHANE,85367545470699180958,63776983699,47698780,0.0,rachat,MOKNINE,2019-03-28,108.204,0
BEN ALI,JEHANE,85367545470699180958,63776983699,47698780,0.0,rachat,MOKNINE,2015-02-18,110.208,0
BEN ALI,MAHMOUD,37824395937240547877,55458453254,9268852,6902.74,souscription,SFAX II,2014-01-29,106.196,65
BEN ALI,MAHMOUD,37824395937240547877,55458453254,9268852,6688.76,rachat,SFAX II,2019-03-02,102.904,65
BEN ALI,MAHMOUD,37824395937240547877,55458453254,9268852,0.0,rachat,SFAX II,2024-09-26,107.058,0
BEN ALI,MAHMOUD,37824395937240547877,55458453254,9268852,0.0,rachat,SFAX II,2019-11-03,100.843,0
BEN ALI,MAKHLOUF,14398656007198650015,53593781688,81251413,0.0,rachat,SOUSSE,2016-01-21,110.059,0
BEN ALI,MAKHLOUF,14398656007198650015,53593781688,81251413,0.0,rachat,SOUSSE,2019-01-31,108.086,0
BEN ALI,MAKHLOUF,14398656007198650015,53593781688,81251413,55241.261,souscription,SOUSSE,2023-02-09,108.529,509
BEN ALI,MAKHLOUF,14398656007198650015,53593781688,81251413,52086.988,rachat,SOUSSE,2021-11-26,102.332,509
BEN ALI,MAKHLOUF,14398656007198650015,53593781688,81251413,0.0,rachat,SOUSSE,2014-06-20,102.5,0
BEN ALI,MUHAMMAD,65741875968625612395,72152025286,20873742,0.0,rachat,CENTRALE CUN,2023-05-19,106.525,0
BEN ALI,MUHAMMAD,65741875968625612395,72152025286,20873742,0.0,rachat,CENTRALE CUN,2016-02-09,100.868,0
BEN ALI,MUHAMMAD,65741875968625612395,72152025286,20873742,6421.03,souscription,CENTRALE CUN,2024-03-03,103.565,62
BEN ALI,MUHAMMAD,65741875968625612395,72152025286,20873742,53615.006,souscription,CENTRALE CUN,2014-06-11,105.334,509
BEN ALI,Mohamed,07107155472936671139,65881180406,6166853,9937.818,souscription,BEN AROUS,2022-04-20,100.382,99
BEN ALI,Mohamed,07107155472936671139,65881180406,6166853,81884.663,souscription,BEN AROUS,2022-11-20,105.931,773
BEN ALI,Mohamed,07107155472936671139,65881180406,6166853,85795.482,souscription,BEN AROUS,2025-05-04,101.774,843
BEN ALI,Mohamed,07107155472936671139,65881180406,6166853,14076.86,souscription,BEN AROUS,2022-12-28,100.549,140
BEN ALI,Mohamed,31421091572881794394,40312289312,88425401,23863.627,souscription,ARIANA,2018-11-25,102.419,233
BEN ALI,Mohamed,31421091572881794394,40312289312,88425401,70872.415,souscription,ARIANA,2017-08-19,102.565,691
BEN ALI,Mohamed,31421091572881794394,40312289312,88425401,12129.372,rachat,ARIANA,2016-10-20,106.398,114
BEN ALI,Mohamed,31421091572881794394,40312289312,88425401,52565.408,souscription,ARIANA,2019-02-14,107.716,488
BEN ALI,Mohamed,31421091572881794394,40312289312,88425401,97282.772,rachat,ARIANA,2016-08-15,107.972,901
BEN ALI,Mohamed,53225760566894013480,98377154193,85129536,46485.84,souscription,ENNASR,2014-11-21,106.864,435
BEN ALI,Mohamed,53225760566894013480,98377154193,85129536,9908.032,rachat,ENNASR,2023-09-02,107.696,92
BEN ALI,Mohamed,53225760566894013480,98377154193,85129536,16125.823,rachat,ENNASR,2015-11-17,108.227,149
BEN ALI,Mohamed,53225760566894013480,98377154193,85129536,87237.54,souscription,ENNASR,2015-06-22,100.62,867
BEN ALI,Mohamed,53225760566894013480,98377154193,85129536,100902.932,souscription,ENNASR,2018-08-17,105.547,956
BEN ALI,Mohamed,86892204318275403204,80009682782,33273780,51335.217,souscription,MANOUBA,2017-05-03,107.621,477
BEN ALI,Mohamed,86892204318275403204,80009682782,33273780,44015.805,rachat,MANOUBA,2021-10-20,108.681,405
BEN ALI,Mohamed,86892204318275403204,80009682782,33273780,7722.72,rachat,MANOUBA,2024-07-12,107.26,72
BEN ALI,Mohamed,86892204318275403204,80009682782,33273780,0.0,rachat,MANOUBA,2019-11-21,100.757,0
BEN ALYA,Souha,87270932563681242797,54118446510,97447059,4716.58,souscription,BARDO,2016-09-09,107.195,44
BEN ALYA,Souha,87270932563681242797,54118446510,97447059,4801.192,rachat,BARDO,2016-12-23,109.118,44
BEN ALYA,Souha,87270932563681242797,54118446510,97447059,0.0,rachat,BARDO,2022-07-04,110.52,0
BEN ALYA,Souha,87270932563681242797,54118446510,97447059,17700.046,souscription,BARDO,2022-02-21,104.734,169
BEN ALYA,Souha,87270932563681242797,54118446510,97447059,4509.792,rachat,BARDO,2023-02-12,107.376,42
BEN AMEUR,AMINE,82230829303044673632,19555732531,3391752,0.0,rachat,ARIANA,2020-03-18,103.252,0
BEN AMEUR,AMINE,82230829303044673632,19555732531,3391752,0.0,rachat,ARIANA,2020-10-09,106.33,0
BEN AMEUR,AMINE,82230829303044673632,19555732531,3391752,0.0,rachat,ARIANA,2024-08-10,104.021,0
BEN AMEUR,AMINE,82230829303044673632,19555732531,3391752,546.09,souscription,ARIANA,2024-11-03,109.218,5
BEN AMEUR,HAHRA,68330726116528959950,12624955352,93179709,40792.154,souscription,SOUSSE SAHLOUL,2014-01-16,108.202,377
